price,host_response_rate,host_acceptance_rate,host_is_superhost,neighbourhood_cleansed,accommodates,bathrooms,bedrooms,beds,guests_included,review_scores_rating,reviews_per_month
87.00,1.00,0.74,f,Riverside,2,1,1,1,1,91,0.67
150.00,N/A,0.60,f,Mid-Cambridge,2,1,0,1,1,97,0.18
189.00,0.99,0.92,f,East Cambridge,3,1,1,2,1,100,0.05
165.00,1.00,0.67,f,Neighborhood Nine,1,1,1,1,1,96,0.27
265.00,1.00,0.99,t,West Cambridge,6,1,2,2,1,95,2.56
250.00,1.00,0.96,t,North Cambridge,5,2,3,3,5,97,1.27
274.00,1.00,1.00,t,Agassiz,5,1,2,3,4,100,4.08
150.00,N/A,N/A,f,North Cambridge,4,1,2,2,1,100,0.09
133.00,1.00,1.00,f,Neighborhood Nine,3,1,2,2,1,93,0.31
278.00,0.92,0.57,f,East Cambridge,3,1,1,2,1,96,0.18
80.00,1.00,0.95,t,Wellington-Harrington,1,1,1,1,1,99,0.99
310.00,N/A,N/A,f,Cambridgeport,6,2,2,2,1,90,0.09
249.00,1.00,0.87,f,The Port,10,1,2,5,6,86,4.87
550.00,1.00,1.00,f,Cambridgeport,8,2.5,5,6,6,95,0.33
52.00,1.00,0.90,t,Agassiz,1,2.5,1,0,1,98,7.38
125.00,N/A,0.83,f,Cambridgeport,1,1,1,1,1,96,1.23
94.00,1.00,1.00,f,Cambridge Highlands,1,1,1,1,1,94,2.24
45.00,1.00,1.00,f,Neighborhood Nine,2,1,1,1,2,93,3.59
275.00,1.00,0.56,f,Agassiz,4,1,2,2,4,98,0.47
88.00,1.00,0.95,t,Mid-Cambridge,2,1,1,1,1,98,2.18
395.00,1.00,1.00,t,North Cambridge,10,2,4,6,1,99,2.35
85.00,N/A,N/A,f,Mid-Cambridge,1,1.5,1,1,1,96,0.88
259.00,0.99,0.92,f,East Cambridge,5,2,2,3,1,100,0.09
300.00,1.00,0.67,f,West Cambridge,3,1,2,2,2,80,0.05
90.00,1.00,0.89,t,Neighborhood Nine,1,1,1,1,1,100,2.68
90.00,1.00,0.89,t,Neighborhood Nine,1,1,1,1,1,99,3.25
179.00,0.99,0.92,f,East Cambridge,5,2,2,3,1,89,0.3
60.00,1.00,0.96,t,North Cambridge,1,1,1,1,1,98,0.49
95.00,1.00,1.00,t,Wellington-Harrington,2,1,1,1,1,98,4.63
149.00,1.00,0.99,t,Riverside,1,1,1,1,1,96,0.44
84.00,1.00,0.95,t,Mid-Cambridge,1,1,1,1,1,98,3.12
64.00,1.00,0.34,f,Neighborhood Nine,2,2,1,1,1,100,0.16
150.00,1.00,1.00,f,Mid-Cambridge,4,1.5,1,1,1,79,1.89
75.00,1.00,1.00,t,Wellington-Harrington,1,1,1,1,1,98,4.02
110.00,1.00,0.81,f,Cambridgeport,2,1,1,1,1,99,1.29
495.00,N/A,1.00,f,North Cambridge,9,2,4,3,8,100,0.1
129.00,1.00,1.00,f,East Cambridge,5,1,1,2,1,88,5.88
265.00,1.00,1.00,t,Neighborhood Nine,6,2,2,3,4,97,0.71
66.00,1.00,1.00,f,Neighborhood Nine,2,1,1,1,2,95,6.23
